"Archaea","avg_abundance","kruskal_p_value","bonferroni_p_value"
"Candidatus",8.42971370805556,0.101347442960611,0.304042328881833
"Methanosarcina",7.28345291838889,0.385742072026357,1
"Sulfolobus",7.33910953827778,0.629898707479227,1
